SampleName	SampleID	AssemblyGroup	FastqFile
MCR_55_VonDamm2020_ShrimpHole_Tf_FLP	MCR_55_VonDamm2020_ShrimpHole_Tf_FLP	VONDAMM_ShrimpHole_vent	MCR_55_VonDamm2020_ShrimpHole_Tf_FLP_S4_L002
MCR_56_Piccard2020_Plume_Tf_FLP	MCR_56_Piccard2020_Plume_Tf_FLP	PICCARD_Plume_nonvent	MCR_56_Piccard2020_Plume_Tf_FLP_S11_L001
MCR_56_Piccard2020_Plume_Tf_FLP	MCR_56_Piccard2020_Plume_Tf_FLP	PICCARD_Plume_nonvent	MCR_56_Piccard2020_Plume_Tf_FLP_S11_L002
MCR_57_Piccard2020_Shrimpocalypse_Tf_FLP	MCR_57_Piccard2020_Shrimpocalypse_Tf_FLP	PICCARD_Shrimpocalypse_vent	MCR_57_Piccard2020_Shrimpocalypse_Tf_FLP_S5_L001
MCR_57_Piccard2020_Shrimpocalypse_Tf_FLP	MCR_57_Piccard2020_Shrimpocalypse_Tf_FLP	PICCARD_Shrimpocalypse_vent	MCR_57_Piccard2020_Shrimpocalypse_Tf_FLP_S5_L002
MCR_58_VonDamm2020_Plume_Tf_FLP	MCR_58_VonDamm2020_Plume_Tf_FLP	VONDAMM_Plume_nonvent	MCR_58_VonDamm2020_Plume_Tf_FLP_S13_L001
MCR_58_VonDamm2020_Plume_Tf_FLP	MCR_58_VonDamm2020_Plume_Tf_FLP	VONDAMM_Plume_nonvent	MCR_58_VonDamm2020_Plume_Tf_FLP_S13_L002
MCR_59_VonDamm2020_X18_Tf_FLP	MCR_59_VonDamm2020_X18_Tf_FLP	VONDAMM_X18_vent	MCR_59_VonDamm2020_X18_Tf_FLP_S6_L001
MCR_59_VonDamm2020_X18_Tf_FLP	MCR_59_VonDamm2020_X18_Tf_FLP	VONDAMM_X18_vent	MCR_59_VonDamm2020_X18_Tf_FLP_S6_L002
MCR_60_VonDamm2020_Background_Tf_FLP	MCR_60_VonDamm2020_Background_Tf_FLP	VONDAMM_Background_nonvent	MCR_60_VonDamm2020_Background_Tf_FLP_S9_L001
MCR_60_VonDamm2020_Background_Tf_FLP	MCR_60_VonDamm2020_Background_Tf_FLP	VONDAMM_Background_nonvent	MCR_60_VonDamm2020_Background_Tf_FLP_S9_L002
MCR_61_VonDamm2020_Ravelin2_Tf_FLP	MCR_61_VonDamm2020_Ravelin2_Tf_FLP	VONDAMM_Ravelin2_vent	MCR_61_VonDamm2020_Ravelin2_Tf_FLP_S7_L001
